"filename", "language", "Markdown", "YAML", "Java", "XML", "JSON", "Docker", "Java Properties", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Home.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 5, 38, 214
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 10, 127
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Login.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 8, 43, 173
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Movies.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 780, 0, 0, 4, 54, 838
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Movies.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 23, 105, 452
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Register.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 13, 175
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Register.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 11, 63, 249
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Statistics.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 464, 0, 0, 4, 27, 495
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Statistics.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 6, 16, 94
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 464, 0, 0, 0, 43, 507
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 355, 0, 0, 19, 102, 476
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Wishlist.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 24, 332
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 5, 22, 100
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 8, 4, 36
"Total", "-", 114, 102, 2622, 186, 18658, 10, 2, 5617, 45, 20, 330, 1609, 29315
